show_id,title,type,content_type_category,primary_genre,genre_count,is_multi_genre,primary_country,country_count,production_region,is_international_production,release_year,release_decade,release_decade_label,release_era,date_added,year_added,month_added,quarter_added,content_age_years,content_age_category,freshness_score,duration,duration_value,duration_type,movie_duration_category,tv_season_category,rating,rating_category,target_audience,genre_saturation_level,genre_opportunity_score,market_classification,competition_index,investment_risk_score,investment_risk_level,performance_indicator,investment_priority_score,investment_recommendation,content_strategy,investment_year,director,has_director,cast,has_cast,description,description_length,title_length,listed_in,country
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Series Content,Crime TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,72,3.15,Moderate Investment,Maintain Position,Year 2 - Scale,,0,,0,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",152,35,"Crime TV Shows, Docuseries, International TV Shows",
s12,Bangkok Breaking,TV Show,Series Content,Crime TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-23,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,67,3.09,Moderate Investment,Maintain Position,Year 2 - Scale,Kongkiat Komesiri,1,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",1,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",131,16,"Crime TV Shows, International TV Shows, TV Action & Adventure",
s13,Je Suis Karl,Movie,Film Content,Dramas,2,1,Germany,2,Europe,1,2021,2020,2020s,Modern Era (2020+),2021-09-23,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,127 min,127.0,min,Long (120-150 min),N/A - Movie,TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Major Market (100-500),4.5,4.0,Low Risk,76,2.45,Cautious Investment,Maintain Position,Year 3 - Optimize,Christian Schwochow,1,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová",1,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",141,12,"Dramas, International Movies","Germany, Czech Republic"
s14,Confessions of an Invisible Girl,Movie,Film Content,Children & Family Movies,2,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,91 min,91.0,min,Feature (90-120 min),N/A - Movie,TV-PG,Parental Guidance,Family,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,71,3.14,Moderate Investment,Maintain Position,Year 2 - Scale,Bruno Garotti,1,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",1,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",147,32,"Children & Family Movies, Comedies",
s15,Crime Stories: India Detectives,TV Show,Series Content,British TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Moderate (2-5%),3,Unknown,3.0,5.0,Very Low Risk,60,3.5,Moderate Investment,Maintain Position,Year 2 - Scale,,0,,0,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,150,31,"British TV Shows, Crime TV Shows, Docuseries",
s16,Dear White People,TV Show,Series Content,TV Comedies,2,1,United States,1,North America,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,4 Seasons,4.0,Season,N/A - TV Show,Medium Run (4-6 seasons),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Dominant Market (500+),4.5,4.5,Very Low Risk,76,3.08,Moderate Investment,Maintain Position,Year 2 - Scale,,0,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",1,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",148,17,"TV Comedies, TV Dramas",United States
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Film Content,Documentaries,2,1,Unknown,0,Unknown,0,2020,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,6,Established (5-10 yrs),94,67 min,67.0,min,Standard (60-90 min),N/A - Movie,TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,55,2.94,Cautious Investment,Maintain Position,Year 3 - Optimize,"Pedro de Echave García, Pablo Azorín Williams",1,,0,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",150,51,"Documentaries, International Movies",
s18,Falsa identidad,TV Show,Series Content,Crime TV Shows,3,1,Mexico,1,North America,0,2020,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,6,Established (5-10 yrs),94,2 Seasons,2.0,Season,N/A - TV Show,Short Run (2-3 seasons),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Major Market (100-500),4.0,5.0,Very Low Risk,76,3.2,Moderate Investment,Maintain Position,Year 2 - Scale,,0,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",1,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,147,15,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Mexico
s19,Intrusion,Movie,Film Content,Thrillers,1,0,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,94 min,94.0,min,Feature (90-120 min),N/A - Movie,TV-14,Teens,Teens & Adults,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,76,3.2,Moderate Investment,Maintain Position,Year 2 - Scale,Adam Salky,1,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",1,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",149,9,Thrillers,
s20,Jaguar,TV Show,Series Content,International TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Unknown,4.0,4.0,Low Risk,81,2.51,Cautious Investment,Maintain Position,Year 3 - Optimize,,0,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",1,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",138,6,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Series Content,Crime TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-22,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-14,Teens,Teens & Adults,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,74,3.17,Moderate Investment,Maintain Position,Year 2 - Scale,Olivier Megaton,1,,0,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",148,47,"Crime TV Shows, Docuseries, International TV Shows",
s22,Resurrection: Ertugrul,TV Show,Series Content,International TV Shows,3,1,Turkey,1,Middle East,0,2018,2010,2010s,Peak Streaming (2015-19),2021-09-22,2021.0,9.0,3.0,8,Established (5-10 yrs),92,5 Seasons,5.0,Season,N/A - TV Show,Medium Run (4-6 seasons),TV-14,Teens,Teens & Adults,Highly Saturated (10%+),1,Major Market (100-500),4.5,4.0,Low Risk,80,2.5,Cautious Investment,Maintain Position,Year 3 - Optimize,,0,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",1,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",147,22,"International TV Shows, TV Action & Adventure, TV Dramas",Turkey
s23,Avvai Shanmughi,Movie,Film Content,Comedies,2,1,Unknown,0,Unknown,0,1996,1990,1990s,1990s Golden Era,2021-09-21,2021.0,9.0,3.0,30,Classic (20+ yrs),70,161 min,161.0,min,Epic (150+ min),N/A - Movie,TV-PG,Parental Guidance,Family,Highly Saturated (10%+),1,Unknown,4.0,3.5,Moderate Risk,64,2.17,Cautious Investment,Maintain Position,Year 3 - Optimize,K.S. Ravikumar,1,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",1,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",152,15,"Comedies, International Movies",
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Film Content,Children & Family Movies,1,0,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-21,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,61 min,61.0,min,Standard (60-90 min),N/A - Movie,TV-Y,Kids,Kids & Family,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,74,3.17,Moderate Investment,Maintain Position,Year 2 - Scale,"Alex Woo, Stanley Moore",1,"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",1,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",151,44,Children & Family Movies,
s25,Jeans,Movie,Film Content,Comedies,3,1,India,1,Asia,0,1998,1990,1990s,1990s Golden Era,2021-09-21,2021.0,9.0,3.0,28,Classic (20+ yrs),72,166 min,166.0,min,Epic (150+ min),N/A - Movie,TV-14,Teens,Teens & Adults,Highly Saturated (10%+),1,Dominant Market (500+),5.0,3.0,Moderate Risk,83,2.29,Cautious Investment,Red Ocean (Compete),Year 3 - Optimize,S. Shankar,1,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",1,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",148,5,"Comedies, International Movies, Romantic Movies",India
s26,Love on the Spectrum,TV Show,Series Content,Docuseries,3,1,Australia,1,Oceania,0,2021,2020,2020s,Modern Era (2020+),2021-09-21,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,2 Seasons,2.0,Season,N/A - TV Show,Short Run (2-3 seasons),TV-14,Teens,Teens & Adults,Moderate (2-5%),3,Major Market (100-500),3.5,5.0,Very Low Risk,76,3.7,Moderate Investment,Maintain Position,Year 2 - Scale,,0,Brooke Satchwell,1,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",147,20,"Docuseries, International TV Shows, Reality TV",Australia
s27,Minsara Kanavu,Movie,Film Content,Comedies,3,1,Unknown,0,Unknown,0,1997,1990,1990s,1990s Golden Era,2021-09-21,2021.0,9.0,3.0,29,Classic (20+ yrs),71,147 min,147.0,min,Long (120-150 min),N/A - Movie,TV-PG,Parental Guidance,Family,Highly Saturated (10%+),1,Unknown,4.0,3.5,Moderate Risk,69,2.24,Cautious Investment,Maintain Position,Year 3 - Optimize,Rajiv Menon,1,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",1,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,150,14,"Comedies, International Movies, Music & Musicals",
s28,Grown Ups,Movie,Film Content,Comedies,1,0,United States,1,North America,0,2010,2010,2010s,Early Streaming (2010-14),2021-09-20,2021.0,9.0,3.0,16,Mature (10-20 yrs),84,103 min,103.0,min,Feature (90-120 min),N/A - Movie,PG-13,Teens,Teens & Adults,Highly Saturated (10%+),1,Dominant Market (500+),5.0,3.0,Moderate Risk,67,2.09,Cautious Investment,Red Ocean (Compete),Year 3 - Optimize,Dennis Dugan,1,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",1,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",150,9,Comedies,United States
s29,Dark Skies,Movie,Film Content,Horror Movies,2,1,United States,1,North America,0,2013,2010,2010s,Early Streaming (2010-14),2021-09-19,2021.0,9.0,3.0,13,Mature (10-20 yrs),87,97 min,97.0,min,Feature (90-120 min),N/A - Movie,PG-13,Teens,Teens & Adults,Moderate (2-5%),3,Dominant Market (500+),4.0,4.0,Low Risk,59,3.24,Moderate Investment,Maintain Position,Year 2 - Scale,Scott Stewart,1,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",1,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",143,10,"Horror Movies, Sci-Fi & Fantasy",United States
s30,Paranoia,Movie,Film Content,Thrillers,1,0,United States,3,North America,1,2013,2010,2010s,Early Streaming (2010-14),2021-09-19,2021.0,9.0,3.0,13,Mature (10-20 yrs),87,106 min,106.0,min,Feature (90-120 min),N/A - Movie,PG-13,Teens,Teens & Adults,Saturated (5-10%),2,Dominant Market (500+),4.5,4.0,Low Risk,83,3.04,Moderate Investment,Maintain Position,Year 2 - Scale,Robert Luketic,1,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan",1,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",121,8,Thrillers,"United States, India, France"
s31,Ankahi Kahaniya,Movie,Film Content,Dramas,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-17,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,111 min,111.0,min,Feature (90-120 min),N/A - Movie,TV-14,Teens,Teens & Adults,Highly Saturated (10%+),1,Unknown,4.0,4.0,Low Risk,71,2.39,Cautious Investment,Maintain Position,Year 3 - Optimize,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",1,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",1,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",151,15,"Dramas, Independent Movies, International Movies",
s32,Chicago Party Aunt,TV Show,Series Content,TV Comedies,1,0,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-17,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,73,3.16,Moderate Investment,Maintain Position,Year 2 - Scale,,0,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",1,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,138,18,TV Comedies,
s33,Sex Education,TV Show,Series Content,British TV Shows,3,1,United Kingdom,1,Europe,0,2020,2020,2020s,Modern Era (2020+),2021-09-17,2021.0,9.0,3.0,6,Established (5-10 yrs),94,3 Seasons,3.0,Season,N/A - TV Show,Short Run (2-3 seasons),TV-MA,Mature,Adults Only,Moderate (2-5%),3,Dominant Market (500+),4.0,4.5,Very Low Risk,61,3.39,Moderate Investment,Maintain Position,Year 2 - Scale,,0,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",1,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",144,13,"British TV Shows, International TV Shows, TV Comedies",United Kingdom
s34,Squid Game,TV Show,Series Content,International TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-17,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Unknown,4.0,4.0,Low Risk,82,2.52,Cautious Investment,Maintain Position,Year 3 - Optimize,,0,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",1,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",152,10,"International TV Shows, TV Dramas, TV Thrillers",
s35,Tayo and Little Wizards,TV Show,Series Content,Kids' TV,1,0,Unknown,0,Unknown,0,2020,2020,2020s,Modern Era (2020+),2021-09-17,2021.0,9.0,3.0,6,Established (5-10 yrs),94,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-Y7,Kids,Kids & Family,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,53,2.91,Cautious Investment,Maintain Position,Year 3 - Optimize,,0,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",1,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,131,23,Kids' TV,
